Alpha_Node,Total_Support
AHR,-866
CDKN1B,-866
APLNR,-862
PIK3C3,-866
PIK3R4,-866
AR,-864
KLK3,-866
ARNT,-866
ALDOA,-866
ANGPT1,-866
ANGPT2,-868
ANGPT4,-866
BCL2,-866
CDKN1A,-866
EDN1,-868
EGF,-866
ENO1,-866
ENO2,-866
ENO3,-866
ENO4,-866
EPO,-866
FLT1,-866
GAPDH,-866
HK1,-866
HK2,-866
HK3,-866
HKDC1,-866
HMOX1,-866
LDHA,-866
LTBR,-866
NOS2,-866
NOS3,-866
NPPA,-866
PDK1,-866
PFKFB3,-866
PFKL,-866
PGK1,-866
SERPINE1,-866
SLC2A1,-866
TEK,-866
TF,-866
TFRC,-866
TIMP1,-866
VEGFA,-866
ARNTL,-868
BHLHE40,-866
BHLHE41,-866
CRY1,-866
CRY2,-866
NR1D1,-866
PER1,-866
PER2,-866
PER3,-866
RORA,-866
RORB,-866
RORC,-866
ASH2L,-866
CDKN2A,-866
CDKN2B,-866
CDKN2C,-866
ATF2,-864
MCL1,-866
FGF21,-866
PPARGC1A,-880
UCP1,-868
ZNF516,-866
INS,-866
TG,-866
CPT1A,-866
CPT1B,-866
CPT1C,-866
G6PC,-868
G6PC2,-868
G6PC3,-868
PCK1,-866
PCK2,-866
SIK1,-866
SIK1B,-866
CYP11B2,-866
STAR,-866
VEGFB,-866
VEGFC,-866
VEGFD,-866
CYP11B1,-866
CYP17A1,-866
NCEH1,-866
FOS,-736
TNFSF11,-866
POMC,-866
BDNF,-866
PDYN,-866
ARC,-866
FOSB,-862
CRH,-866
NPY,-866
CXCL8,-866
PCNA,-866
CCL2,-868
CCL5,-868
CXCL10,-866
ICAM1,-868
IL12A,-866
IL12B,-866
IL1A,-868
IL1B,-868
IL6,-868
TNF,-872
CCND1,-866
ATF4,-862
PRKN,-866
DDIT3,-866
ATF6B,-866
BBC3,-864
TP53,-868
TP53AIP1,-866
BCL3,-864
CCL17,-866
CCL22,-866
IL10,-868
IL23A,-866
BORCS8-MEF2B,-866
KLF2,-866
CAMK4,-856
CBL,-864
THBS1,-866
TIMP3,-866
CD40,-866
CDX2,-856
ABCB1,-866
CDH17,-866
MUC2,-866
REG4,-866
SHH,-866
CEBPA,-804
CSF3R,-866
E2F1,-866
E2F2,-866
E2F3,-866
MYC,-868
CIITA,-866
HLA-DMA,-866
HLA-DMB,-866
HLA-DOA,-866
HLA-DOB,-866
HLA-DPA1,-866
HLA-DPB1,-866
HLA-DQA1,-866
HLA-DQA2,-866
HLA-DQB1,-866
HLA-DRA,-866
HLA-DRB1,-866
HLA-DRB3,-866
HLA-DRB4,-866
HLA-DRB5,-866
CITED2,-866
BNIP3L,-866
CLOCK,-866
CREB1,-866
AQP2,-868
MITF,-868
JUN,-800
ACP5,-868
CALCR,-868
CTSK,-868
ITGB3,-868
REN,-866
CD74,-866
PTGER4,-866
CREB3,-866
CREB3L1,-866
CREB3L2,-866
CREB3L3,-866
CREB3L4,-866
CREB5,-866
CREBBP,-860
IFNB1,-868
CRTC2,-860
CTNNB1,-738
CCND2,-866
CCND3,-868
CCNE1,-866
CCNE2,-866
BNIP3,-866
FOXM1,-866
MYBL2,-866
CCNA1,-866
CCNA2,-866
E2F4,-802
E2F5,-802
EGFR,-866
PTGS2,-866
EGR1,-866
SPP1,-866
PTH,-866
EGR2,-866
FASLG,-868
EGR3,-866
EIF4EBP2,-862
CRYAB,-866
HSPA1A,-866
HSPA1B,-866
HSPA1L,-866
HSPA2,-866
HSPA6,-866
HSPA8,-866
SOD1,-866
SOD2,-866
ELK1,-868
BIRC2,-866
BIRC3,-866
XIAP,-866
FOSL1,-870
ELK4,-864
EP300,-860
EPAS1,-862
FIGF,-866
PDGFB,-868
PGF,-866
TGFA,-866
TGFB1,-866
TGFB2,-866
TGFB3,-866
ESR1,-798
CTSD,-866
EBAG9,-866
KRT10,-866
KRT12,-866
